,id,headlines,ChanceOfVirality
40,40,Covid-19 lockdown: India should open up now,3
41,41,"India Always Knew Spitting in Public is Wrong, Now is the Best Time to Ensure We Don't: PM Modi",8
42,42,"Coronavirus live updates: 28,380 total cases in India, 6,362 cured & death toll at 886, according to health ministry",3
43,43,"Coronavirus state-wise tally April 27: Maharashtra, Gujarat continue to record highest number of cases",3
44,44,Tavleen Singh writes: Coronavirus pandemic gives PM Modi opportunity to go back to his promises,2
45,45,"Mint Covid Tracker: Despite slowing trajectory, India’s case count could reach 50,000 in eight days",2
46,46,"Indian Council of Medical Research (ICMR): 'Don't use China kits, Return them back'",0
47,47,India Overpaid For Chinese COVID-19 Test Kits? What Court Case Reveals,1
48,48,Return Covid-19 rapid test kits: ICMR to states after complaints over results,1
49,49,Delhi High Court caps imported antibody kit price at Rs. 400,0
50,50,"""Till I'm Here..."": Mamata Banerjee Assures Those Stranded Outside Bengal",2
51,51,Centre making conflicting statements on lockdown: Mamata,1
52,52,"West Bengal CM Mamata Banerjee Says, She Is In Favour Of Extending Lockdown Till May 21",1
53,53,BJP Leaders Stage Sit-In Protests Against Bengal's COVID-19 Handling,1
54,54,Covid-19 patient jumps to death from hospital building in Bengaluru,1
55,55,COVID-19 Patient Allegedly Jumps To Death From Bengaluru Hospital Floor,1
56,56,Coronavirus Patient Commits Suicide in Karnataka,2
57,57,"One Covid-19 patient commits suicide at hospital, 8 new cases in Karnataka",4
58,58,Congress' Rahul Gandhi reacts on corruption charges raised amid Coronavirus lockdown,3
59,59,"""Insult To Every Indian"": Rahul Gandhi Amid Row Over Cost Of Testing Kits",0
60,60,"COVID-19: Probe ‘profiteering’ in rapid testing kits’ import, Cong. tells PM",1
61,61,5 questions for Modi government in Congress’ demand for national Covid plan,2
62,62,‘Do you have any plan on shifting migrant workers to their native places?’ SC asks Centre,1
63,63,"'This institution is not hostage of government ', says Supreme Court",0
64,64,"Covid-19: Migrant workers returning home could be a major health hazard, says MHA report",1
65,65,"SC Seeks Centre's Reply on PIL of Journalists' Bodies on Job Loss, Wage Cuts in Media",2
66,66,Congress targets Centre over antibody test kits being purchased at higher prices,1
67,67,"ICMR agreed to pay 2.5 times the price for rapid test kits, Delhi HC judgment shows",1
68,68,Coronavirus | Delhi HC asks to cap the price of COVID-19 test kits,3
69,69,Explained: What is the Controversy Around Profiteering in Sale of Covid-19 Rapid Kits to ICMR,2
70,70,"Coronavirus - Nitish Kumar, Cornered Over Students, Migrants, Made A Case Before PM",3
71,71,Not Possible to Bring Back Students from Kota Till Centre Revises Guidelines: Nitish tells PM,0
72,72,‘Not possible’: Bihar CM cites lockdown for delaying Kota students’ return,1
73,73,"11 more Covid-19 patients recovered in Bihar, CM asks people to maintain social distancing",4
74,74,Ambulance Stopped For Tamil Nadu Chief Minister's Convoy? Cops Say No,0
75,75,Number of people discharged overtakes hospitalized in Tamil Nadu,1
76,76,"Tamil Nadu Awaits Nod for Plasma Therapy Treatment for Covid-19 Patients, May Start Trials in 1 Week",1
77,77,Heartbreak in under-siege Salem: Mother collapses begging for son's release,1
78,78,Kim Jong Un ‘alive and well’: Seoul,0
79,79,South Korea maintains Kim Jong Un health rumours are untrue,1
80,80,Where is Kim Jong-un?,1
81,81,‘Kim Jong Un could very well be OK and reappear’: Experts debate on rumours,0
82,82,Violence increased in Afghanistan after US-Taliban deal: UN,1
83,83,A virus incubating across Durand Line,1
84,84,Afghan war killing civilians despite US-Taliban peace deal: UN,0
85,85,UN report notes drop in number of Afghan civilians killed,0
86,86,3 Beijing Activists Missing After Preserving Virus Articles Online,1
87,87,"RBI announces ₹50,000 crore lifeline for mutual funds: 10 points",1
88,88,COVID 19 Crisis: Franklin Templeton Shut Down 6 Debts Mutual Fund Schemes Blaming Liquidity Crunch,2
89,89,Templeton Fund Freeze Leaves a Dangerous Hole,0
90,90,Here's why Franklin Templeton case should not be viewed as a credit crisis,1
91,91,Trade Setup for Monday: Top 15 things to know before Opening Bell,5
92,92,"Firm cues, RBI move give Sensex 416-point boost; Nifty above 9,250",0
93,93,"Sensex gains 24% in a month, ends 415 pts up, Nifty at 9,282; these factors drove D-Street today",2
94,94,"Closing Bell: Nifty ends just shy of 9,300, Sensex gains 415 pts; IndusInd Bank up 6% ahead of result",0
95,95,How to place an order on JioMart using WhatsApp: A step-by-step guide,1
96,96,"After Facebook-Reliance deal, JioMart goes live on WhatsApp",1
97,97,Reliance starts using WhatsApp for grocery deliveries but model to evolve,0
98,98,"JioMart has launched Whatsapp orders in Thane, Navi Mumbai. How does it work?",0
99,99,"IndusInd Bank Q4 results: Profit falls 16% YoY to Rs 302 crore, misses estimates; provisions spike 56%",0
100,100,"IndusInd Bank reports Q4FY20 net profit at Rs 302 crore, NII at Rs 3,231.2 crore",0
101,101,IndusInd Bank Q4 preview: Profit may fall sharply on muted operating performance,1
102,102,IndusInd Bank Q4 preview: Profit may dip 95% QoQ on exposure to telecom cos,0
103,103,Unreleased Realme smartphone leaks in live images - GSMArena.com news,2
104,104,Realme X2 Pro Starts Receiving Android April 2020 Security Patch and Other Bug Fixes,0
105,105,Realme X50m 5G with Snapdragon 765G chipset and two selfie cameras launched,0
106,106,"Realme TV receives Google certification, expected to launch soon",0
107,107,Call of Duty: Mobile confirms arrival of Rust map by name,0
108,108,'Call Of Duty: Mobile' Is Getting A Fan-Favourite Map Next Week,0
109,109,The Apple Watch 5th anniversary: what we got right and wrong in our review,2
110,110,"Five years later, the Apple Watch is an unyielding icon of design",3
111,111,Remember when Apple Watch was a luxury item? We look back at its 5-year evolution,3
112,112,"Former Apple designer reveals original sketches, other tidbits about genesis of Apple Watch",2
113,113,Android 10 for the OnePlus 5 and 5T is here with a new OxygenOS Open Beta,3
114,114,OnePlus 8 Review: All you need?,2
115,115,OnePlus 8 Pro OxygenOS 10.5.5 update reportedly 'fixes' the display green tint issue,1
116,116,"OnePlus 6T, OnePlus 6 Start Receiving OxygenOS 10.3.3 With Jio VoWifi Support, Bug Fixes",1
117,117,Dulquer Salmaan offers apology to Tamil people,1
118,118,Dulquer Salmaan apologises for insulting Tamil audience! - Malayalam News,1
119,119,Dulquer Salmaan Explains Prabhakaran Joke In Varane Avashyamund After Outrage,1
120,120,"Many Tamil viewers misinterpret dog scene in 'Varane Avashyamund', Dulquer clarifies",2
121,121,When Ranbir Kapoor and 'Raees' actress Mahira Khan's 'smoking on the street of NYC' picture went viral on,1
122,122,Arjun Kapoor on Actors Being Called Dumb: One Question to Alia on Koffee Destroyed Our Combined IQ,2
123,123,"Sara Ali Khan, Alia Bhatt, Alaya F: Throwback to some of the best short dress styles",3
124,124,"How Alia Bhatt, Akansha Ranjan Kapoor And Other Besties Party Now",2
125,125,Hungama 2 Director Priyadarshan SLAMS Ayushmann Khurrana & Kartik Aaryan: “Maybe They Thought I Am Outdated”,2
126,126,"Had approached Ayushmann Khurrana, Kartik Aaryan for Hungama 2, says director Priyadarshan",1
127,127,Farm to table: Dharmendra exhibits his vegetable harvest amid lockdown,1
128,128,"Ayushmann Khurrana and Kartik Aaryan refused Hungama 2, says Priyadarshan: ‘Maybe they think I’m outdated,...",3
129,129,Aryan Khan once ‘beat up a girl’ for calling Shah Rukh Khan fat. So the actor got six-pack abs in Om...,1
130,130,When Shah Rukh Khan confessed about lying to his wife Gauri Khan on their honeymoon,3
131,131,Did you know Shah Rukh Khan cheated wife Gauri on their honeymoon?,4
132,132,When Shah Rukh Khan and Gauri Khan attended Kajol's Mehendi ceremony!,0
133,133,Umar Akmal handed three-year ban for breach of anti-corruption code - Cricbuzz,1
134,134,PCB hands Umar Akmal three-year ban for not reporting corrupt approaches,1
135,135,PCB bans Umar Akmal for three years,2
136,136,PCB Bans Umar Akmal For 3 Years For Failing To Report Spot-Fixing Approach,2
137,137,"Anil Kumble was best captain I played under, Rahul Dravid was technical master: RP Singh",1
138,138,“I Believe He Is A True Leader” – Mohit Sharma Opens Up About MS Dhoni,1
139,139,"His graph went up & mine went down, but friendship is intact: Former India pacer on MS Dhoni",1
140,140,"If you fumble the ball, people feel you can't replace MS Dhoni: KL Rahul",1
141,141,Kohli or Tendulkar? Yuvraj or Dhoni? Yuvraj Singh corners Jasprit Bumrah with rapid-fire questions,0
142,142,"Harbhajan Singh a better off-spinner than Ravichandran Ashwin, feels Jasprit Bumrah",1
143,143,Youngsters Today Try to be What They are Not on Social Media: Yuvraj,5
144,144,Have seen many decent players who become something else on social media: Yuvraj Singh,7
145,145,Government keen on Provisional Premier League return date,0
146,146,"As Premier League aims a mid-June restart, hurdles outnumber hopes",1
147,147,The Premier League's greatest ever team goals have been compiled on Twitter,0
148,148,Premier League targets behind closed doors return in June,0
149,149,Starwatch: time for the moon to bid farewell to brilliant Venus,2
150,150,"Crescent moon ""show"" this evening; nice start to week",0
151,151,LOOK UP! Venus shines brightest all week in the evening sky,3
152,152,Venus and crescent Moon close together and Earthshine,0
153,153,Most Dangerous Place in Earth's History Revealed,0
154,154,Scientists Dub Region 'Most Dangerous Place in the History of Planet Earth',1
155,155,Record-breaking hole in ozone layer over Arctic closed: EU sat,1
156,156,"Scientists say ozone layer hole, discovered last month, over the Arctic region has healed itself",1
157,157,Largest hole in the ozone layer heals itself: Is it Coronavirus effect?,4
158,158,"Earth Finally Fixed Largest Ozone Layer Hole Above Arctic, Healing 1 Million Square Km",1
159,159,As Beautiful as The Moon? This is The First Time we Get to See The Lunar Surface in Such Detail,7
160,160,USGS releases first complete geologic map of the Moon,2
161,161,Incredible New Map of Moon Shows Its Every Nook and Cranny,1
162,162,Coronavirus: How India will play a major role in a Covid-19 vaccine,4
163,163,"Covid-19: Pune company plans to ready 20-40m vaccine shots at Rs 1,000/dose by Sept-Oct",1
164,164,"Serum Institute to Start Making Oxford's Covid-19 Vaccine in 3 Weeks, Launch by Oct if Trials Succeed",1
165,165,Serum Institute to begin Covid vaccine production to get head start in case trial succeeds - Republic World,3
166,166,Wuhan's L-strain may be behind Gujarat's high death rate: Experts,1
167,167,High fatality rate in Gujarat could be due to dominance of Wuhan’s L-type Covid-19 strain,2
168,168,Wuhans L-Type Coronavirus Could Be Behind High Mortality Rate In Gujarat: Experts,3
169,169,Wuhan's L-strand behind high mortality in Gujarat?,1
170,170,Health department augments testing strategy to reach out to more people,3
171,171,Controlling COVID-19 Spread All the More Difficult Due to Asymptomatic Transmission of Coronavirus: Researchers,4
172,172,"Covid-19: As businesses open slowly, here’s your guide to safe shopping",2
173,173,Asymptomatic transmission hindering control of COVID-19 spread: Researchers,1
174,174,Fact Check: First volunteer of UK corona vaccine trial is alive and kicking,2
175,175,"Disabled Muslim man hounded for accidentally dropping currency, accused of spreading coronavirus",3
176,176,FACT CHECK: Did this female Indian doctor die because of coronavirus?,2
177,177,Ministry Of Personnel Refutes Rumours About Reducing Age Of Retirement,1
178,178,TISS Professors Falsely Targeted For 'Supporting Palghar Accused',0
179,179,Need to give importance to economy and also battle Covid-19: PM Modi to CMs,2
180,180,"Coronavirus update: India's Covid-19 count crosses 28,000-mark, death toll at 886. State-wise tally here",4
181,181,‘Won’t lose a single rupee’: Govt clarifies after cancelling Chinese Covid-19 test kits,1
182,182,"Coronavirus Pandemic LIVE Updates: India Cases Rise to 27, 892, Death Toll at 872; Lockdown Exit Strategy on Agenda as PM Modi Speaks to CMs Today",5
183,183,Man who tested positive for COVID-19 kills self in Bengaluru,2
184,184,‘Shame and disgust’: Rahul Gandhi amid row over cost of Covid-19 test kits,1
185,185,"No Need for Migrants to Go Back to Hometown, Centre Tells SC, Warns of Serious Health Hazard",1
186,186,Delhi High Court orders to cap the price of coronavirus COVID-19 test kits at Rs 400,3
187,187,Nitish Kumar says no to getting students back from Kota. Then explains,0
188,188,"47 new coronavirus reported from Chennai, 570 cases in city till now",5
189,189,Will North Korea Get its 'First Female Dictator'? Twitter is Obsessing Over Kim Jong Un's Sister,1
190,190,Will US-Taliban deal limit India's leverage in Afghanistan?,1
191,191,UN say pandemic may cause 'human rights disaster': Live updates,2
192,192,Saudi Arabia ends death penalty for minors,0
193,193,Slideshow | Gainers & Losers: 10 stocks that moved the most on April 27,1
194,194,Sensex rises 400 points. Key triggers that moved market direction today,1
195,195,Reliance begins using WhatsApp for grocery deliveries through JioMart,0
196,196,IndusInd Bank Q4: Profit falls 77% to Rs 302 cr QoQ as provisions spike 134%,0
197,197,Mysterious Realme phone’s live image surfaces online; shows Reno-like rear design,1
198,198,"Call Of Duty Mobile Update: New 'Rust' Map, 'Kill Confirmed' Mode & More",2
199,199,The Apple Watch saved my life...,2
200,200,OnePlus 8 Pro gets Oxygen OS 10.5.5 update with fix for green display tint,1
201,201,Dulquer Salmaan apologises for ‘Prabhakara’ joke in ‘Varane Avashyamund’,0
202,202,"Alia Bhatt connects with her girl gang virtually during lockdown, says they are ‘alone together’. See...",4
203,203,Priyadarshan on Hungama 2: Ayushmann Khurrana and Kartik Aaryan refused the film,1
204,204,Shah Rukh Khan’s time away from movies brings lookalike Raju’s life to a standstill,4
205,205,Umar Akmal banned for 3 years from all forms by PCB Disciplinary Panel on corruption charges,2
206,206,‘If you fumble a ball...’: KL Rahul opens up about comparisons with MS Dhoni,1
207,207,'They Become Something Else': Yuvraj Singh Slams Young Cricketers for Trying 'Too Hard' Online,2
208,208,Project Restart: Premier League players briefed on hotel lockdown plan for football to return,1
209,209,"A ‘Potentially Hazardous’ Asteroid Visits, Venus Shines At Its Brightest: The Night Sky This Week",1
210,210,Scientists Have Officially Declared This the Most Dangerous Place on Earth,2
211,211,Largest ozone layer hole over Arctic closed? Here's what we know so far,4
212,212,Scientists Develop First Comprehensive Map of the Moon's Surface,2
213,213,"Coronavirus pandemic | Pune manufacturer plans to price COVID-19 vaccine at Rs 1,000 in India",4
214,214,"Deadlier L Type Coronavirus Strain Could be Behind High Death Rate in Gujarat and Indore, Say Experts",2
215,215,How and when to eat cucumber to lose weight,0
216,216,'Asymptomatic transmission Achilles' heel of COVID-19 strategies',1
217,217,"Coronavirus pandemic | Lockdown will continue post-May 3 in COVID-19 hotspots, PM Modi tells chief ministers",4
218,218,Government mulls proposal to guarantee up to Rs 3 lakh crore bank loans to small businesses: Report,0
219,219,Covid-19 lockdown: India should open up now,3
220,220,"India Always Knew Spitting in Public is Wrong, Now is the Best Time to Ensure We Don't: PM Modi",8
221,221,"Coronavirus live updates: 28,380 total cases in India, 6,362 cured & death toll at 886, according to health ministry",3
222,222,"Coronavirus state-wise tally April 27: Maharashtra, Gujarat continue to record highest number of cases",3
223,223,Tavleen Singh writes: Coronavirus pandemic gives PM Modi opportunity to go back to his promises,2
224,224,"Mint Covid Tracker: Despite slowing trajectory, India’s case count could reach 50,000 in eight days",2
225,225,"Indian Council of Medical Research (ICMR): 'Don't use China kits, Return them back'",0
226,226,India Overpaid For Chinese COVID-19 Test Kits? What Court Case Reveals,1
227,227,Return Covid-19 rapid test kits: ICMR to states after complaints over results,1
228,228,Delhi High Court caps imported antibody kit price at Rs. 400,0
229,229,"""Till I'm Here..."": Mamata Banerjee Assures Those Stranded Outside Bengal",2
230,230,Centre making conflicting statements on lockdown: Mamata,1
231,231,"West Bengal CM Mamata Banerjee Says, She Is In Favour Of Extending Lockdown Till May 21",1
232,232,BJP Leaders Stage Sit-In Protests Against Bengal's COVID-19 Handling,1
233,233,Covid-19 patient jumps to death from hospital building in Bengaluru,1
234,234,COVID-19 Patient Allegedly Jumps To Death From Bengaluru Hospital Floor,1
235,235,Coronavirus Patient Commits Suicide in Karnataka,2
236,236,"One Covid-19 patient commits suicide at hospital, 8 new cases in Karnataka",4
237,237,Congress' Rahul Gandhi reacts on corruption charges raised amid Coronavirus lockdown,3
238,238,"""Insult To Every Indian"": Rahul Gandhi Amid Row Over Cost Of Testing Kits",0
239,239,"COVID-19: Probe ‘profiteering’ in rapid testing kits’ import, Cong. tells PM",1
240,240,5 questions for Modi government in Congress’ demand for national Covid plan,2
241,241,‘Do you have any plan on shifting migrant workers to their native places?’ SC asks Centre,1
242,242,"'This institution is not hostage of government ', says Supreme Court",0
243,243,"Covid-19: Migrant workers returning home could be a major health hazard, says MHA report",1
244,244,"SC Seeks Centre's Reply on PIL of Journalists' Bodies on Job Loss, Wage Cuts in Media",2
245,245,Congress targets Centre over antibody test kits being purchased at higher prices,1
246,246,"ICMR agreed to pay 2.5 times the price for rapid test kits, Delhi HC judgment shows",1
247,247,Coronavirus | Delhi HC asks to cap the price of COVID-19 test kits,3
248,248,Explained: What is the Controversy Around Profiteering in Sale of Covid-19 Rapid Kits to ICMR,2
249,249,"Coronavirus - Nitish Kumar, Cornered Over Students, Migrants, Made A Case Before PM",3
250,250,Not Possible to Bring Back Students from Kota Till Centre Revises Guidelines: Nitish tells PM,0
251,251,‘Not possible’: Bihar CM cites lockdown for delaying Kota students’ return,1
252,252,"11 more Covid-19 patients recovered in Bihar, CM asks people to maintain social distancing",4
253,253,Ambulance Stopped For Tamil Nadu Chief Minister's Convoy? Cops Say No,0
254,254,Number of people discharged overtakes hospitalized in Tamil Nadu,1
255,255,"Tamil Nadu Awaits Nod for Plasma Therapy Treatment for Covid-19 Patients, May Start Trials in 1 Week",1
256,256,Heartbreak in under-siege Salem: Mother collapses begging for son's release,1
257,257,Kim Jong Un ‘alive and well’: Seoul,0
258,258,South Korea maintains Kim Jong Un health rumours are untrue,1
259,259,Where is Kim Jong-un?,1
260,260,‘Kim Jong Un could very well be OK and reappear’: Experts debate on rumours,0
261,261,Violence increased in Afghanistan after US-Taliban deal: UN,1
262,262,A virus incubating across Durand Line,1
263,263,Afghan war killing civilians despite US-Taliban peace deal: UN,0
264,264,UN report notes drop in number of Afghan civilians killed,0
265,265,3 Beijing Activists Missing After Preserving Virus Articles Online,1
266,266,"RBI announces ₹50,000 crore lifeline for mutual funds: 10 points",1
267,267,COVID 19 Crisis: Franklin Templeton Shut Down 6 Debts Mutual Fund Schemes Blaming Liquidity Crunch,2
268,268,Templeton Fund Freeze Leaves a Dangerous Hole,0
269,269,Here's why Franklin Templeton case should not be viewed as a credit crisis,1
270,270,Trade Setup for Monday: Top 15 things to know before Opening Bell,5
271,271,"Firm cues, RBI move give Sensex 416-point boost; Nifty above 9,250",0
272,272,"Sensex gains 24% in a month, ends 415 pts up, Nifty at 9,282; these factors drove D-Street today",2
273,273,"Closing Bell: Nifty ends just shy of 9,300, Sensex gains 415 pts; IndusInd Bank up 6% ahead of result",0
274,274,How to place an order on JioMart using WhatsApp: A step-by-step guide,1
275,275,"After Facebook-Reliance deal, JioMart goes live on WhatsApp",1
276,276,Reliance starts using WhatsApp for grocery deliveries but model to evolve,0
277,277,"JioMart has launched Whatsapp orders in Thane, Navi Mumbai. How does it work?",0
278,278,"IndusInd Bank Q4 results: Profit falls 16% YoY to Rs 302 crore, misses estimates; provisions spike 56%",0
279,279,"IndusInd Bank reports Q4FY20 net profit at Rs 302 crore, NII at Rs 3,231.2 crore",0
280,280,IndusInd Bank Q4 preview: Profit may fall sharply on muted operating performance,1
281,281,IndusInd Bank Q4 preview: Profit may dip 95% QoQ on exposure to telecom cos,0
282,282,Unreleased Realme smartphone leaks in live images - GSMArena.com news,2
283,283,Realme X2 Pro Starts Receiving Android April 2020 Security Patch and Other Bug Fixes,0
284,284,Realme X50m 5G with Snapdragon 765G chipset and two selfie cameras launched,0
285,285,"Realme TV receives Google certification, expected to launch soon",0
286,286,Call of Duty: Mobile confirms arrival of Rust map by name,0
287,287,'Call Of Duty: Mobile' Is Getting A Fan-Favourite Map Next Week,0
288,288,The Apple Watch 5th anniversary: what we got right and wrong in our review,2
289,289,"Five years later, the Apple Watch is an unyielding icon of design",3
290,290,Remember when Apple Watch was a luxury item? We look back at its 5-year evolution,3
291,291,"Former Apple designer reveals original sketches, other tidbits about genesis of Apple Watch",2
292,292,Android 10 for the OnePlus 5 and 5T is here with a new OxygenOS Open Beta,3
293,293,OnePlus 8 Review: All you need?,2
294,294,OnePlus 8 Pro OxygenOS 10.5.5 update reportedly 'fixes' the display green tint issue,1
295,295,"OnePlus 6T, OnePlus 6 Start Receiving OxygenOS 10.3.3 With Jio VoWifi Support, Bug Fixes",1
296,296,Dulquer Salmaan offers apology to Tamil people,1
297,297,Dulquer Salmaan apologises for insulting Tamil audience! - Malayalam News,1
298,298,Dulquer Salmaan Explains Prabhakaran Joke In Varane Avashyamund After Outrage,1
299,299,"Many Tamil viewers misinterpret dog scene in 'Varane Avashyamund', Dulquer clarifies",2
300,300,When Ranbir Kapoor and 'Raees' actress Mahira Khan's 'smoking on the street of NYC' picture went viral on,1
301,301,Arjun Kapoor on Actors Being Called Dumb: One Question to Alia on Koffee Destroyed Our Combined IQ,2
302,302,"Sara Ali Khan, Alia Bhatt, Alaya F: Throwback to some of the best short dress styles",3
303,303,"How Alia Bhatt, Akansha Ranjan Kapoor And Other Besties Party Now",2
304,304,Hungama 2 Director Priyadarshan SLAMS Ayushmann Khurrana & Kartik Aaryan: “Maybe They Thought I Am Outdated”,2
305,305,"Had approached Ayushmann Khurrana, Kartik Aaryan for Hungama 2, says director Priyadarshan",1
306,306,Farm to table: Dharmendra exhibits his vegetable harvest amid lockdown,1
307,307,"Ayushmann Khurrana and Kartik Aaryan refused Hungama 2, says Priyadarshan: ‘Maybe they think I’m outdated,...",3
308,308,Aryan Khan once ‘beat up a girl’ for calling Shah Rukh Khan fat. So the actor got six-pack abs in Om...,1
309,309,When Shah Rukh Khan confessed about lying to his wife Gauri Khan on their honeymoon,3
310,310,Did you know Shah Rukh Khan cheated wife Gauri on their honeymoon?,4
311,311,When Shah Rukh Khan and Gauri Khan attended Kajol's Mehendi ceremony!,0
312,312,Umar Akmal handed three-year ban for breach of anti-corruption code - Cricbuzz,1
313,313,PCB hands Umar Akmal three-year ban for not reporting corrupt approaches,1
314,314,PCB bans Umar Akmal for three years,2
315,315,PCB Bans Umar Akmal For 3 Years For Failing To Report Spot-Fixing Approach,2
316,316,"Anil Kumble was best captain I played under, Rahul Dravid was technical master: RP Singh",1
317,317,“I Believe He Is A True Leader” – Mohit Sharma Opens Up About MS Dhoni,1
318,318,"His graph went up & mine went down, but friendship is intact: Former India pacer on MS Dhoni",1
319,319,"If you fumble the ball, people feel you can't replace MS Dhoni: KL Rahul",1
320,320,Kohli or Tendulkar? Yuvraj or Dhoni? Yuvraj Singh corners Jasprit Bumrah with rapid-fire questions,0
321,321,"Harbhajan Singh a better off-spinner than Ravichandran Ashwin, feels Jasprit Bumrah",1
322,322,Youngsters Today Try to be What They are Not on Social Media: Yuvraj,5
323,323,Have seen many decent players who become something else on social media: Yuvraj Singh,7
324,324,Government keen on Provisional Premier League return date,0
325,325,"As Premier League aims a mid-June restart, hurdles outnumber hopes",1
326,326,The Premier League's greatest ever team goals have been compiled on Twitter,0
327,327,Premier League targets behind closed doors return in June,0
328,328,Starwatch: time for the moon to bid farewell to brilliant Venus,2
329,329,"Crescent moon ""show"" this evening; nice start to week",0
330,330,LOOK UP! Venus shines brightest all week in the evening sky,3
331,331,Venus and crescent Moon close together and Earthshine,0
332,332,Most Dangerous Place in Earth's History Revealed,0
333,333,Scientists Dub Region 'Most Dangerous Place in the History of Planet Earth',1
334,334,Record-breaking hole in ozone layer over Arctic closed: EU sat,1
335,335,"Scientists say ozone layer hole, discovered last month, over the Arctic region has healed itself",1
336,336,Largest hole in the ozone layer heals itself: Is it Coronavirus effect?,4
337,337,"Earth Finally Fixed Largest Ozone Layer Hole Above Arctic, Healing 1 Million Square Km",1
338,338,As Beautiful as The Moon? This is The First Time we Get to See The Lunar Surface in Such Detail,7
339,339,USGS releases first complete geologic map of the Moon,2
340,340,Incredible New Map of Moon Shows Its Every Nook and Cranny,1
341,341,Coronavirus: How India will play a major role in a Covid-19 vaccine,4
342,342,"Covid-19: Pune company plans to ready 20-40m vaccine shots at Rs 1,000/dose by Sept-Oct",1
343,343,"Serum Institute to Start Making Oxford's Covid-19 Vaccine in 3 Weeks, Launch by Oct if Trials Succeed",1
344,344,Serum Institute to begin Covid vaccine production to get head start in case trial succeeds - Republic World,3
345,345,Wuhan's L-strain may be behind Gujarat's high death rate: Experts,1
346,346,High fatality rate in Gujarat could be due to dominance of Wuhan’s L-type Covid-19 strain,2
347,347,Wuhans L-Type Coronavirus Could Be Behind High Mortality Rate In Gujarat: Experts,3
348,348,Wuhan's L-strand behind high mortality in Gujarat?,1
349,349,Health department augments testing strategy to reach out to more people,3
350,350,Controlling COVID-19 Spread All the More Difficult Due to Asymptomatic Transmission of Coronavirus: Researchers,4
