,id,headlines,ChanceOfVirality
78,78,Saudi Arabia Ends Death Penalty For Minors,0
79,79,Saudi Arabia partially lifts curfew except in Mecca,0
80,80,Saudi Arabia abolishes death sentence for minors,0
81,81,Prime Minister Modi feels 'very proud' when world leaders thank India for help in coronavrus crisis,2
82,82,"PM Narendra Modi to interact with CMs on April 26 to discuss way out of lockdown, COVID fight",4
83,83,"India coronavirus, COVID-19 live updates, April 26: 293 new coronavirus cases take Delhi`s total count to 2...",5
84,84,"India coronavirus, COVID-19 live updates, April 26: 293 new coronavirus cases take Delhi`s total count to 2...",5
85,85,"RBI announces ₹50,000 crore lifeline for mutual funds: 10 points",1
86,86,COVID 19 Crisis: Franklin Templeton Shut Down 6 Debts Mutual Fund Schemes Blaming Liquidity Crunch,2
87,87,Templeton Fund Freeze Leaves a Dangerous Hole,0
88,88,Here's why Franklin Templeton case should not be viewed as a credit crisis,1
89,89,Here Are Some Of The Buzzing Stocks For Today's Trade | Chartbusters,3
90,90,"Nifty, Sensex end higher as RBI eases MF liquidity concerns",0
91,91,"Closing Bell: Nifty ends just shy of 9,300, Sensex gains 415 pts; IndusInd Bank up 6% ahead of result",0
92,92,"Sensex ends over 400 points higher, Nifty below 9,300; private banks shine",0
93,93,How to place an order on JioMart using WhatsApp: A step-by-step guide,1
94,94,"After Facebook-Reliance deal, JioMart goes live on WhatsApp",1
95,95,JioMart goes live on WhatsApp in some areas in Mumbai,0
96,96,JioMart WhatsApp Order Booking Service Launched: How to Order,1
97,97,IndusInd Bank Q4: Profit falls 77% to Rs 302 cr QoQ as provisions spike 134%,0
98,98,"IndusInd Bank Q4 results: Profit falls 16% YoY to Rs 302 crore, misses estimates; provisions spike 56%",0
99,99,"IndusInd Banks Q4 profit slumps 77% QoQ to Rs 302 cr, provisions jump 2x",0
100,100,IndusInd Bank Q4 preview: Profit may fall sharply on muted operating performance,1
101,101,Realme X50m 5G with Snapdragon 765G chipset and two selfie cameras launched,0
102,102,"Realme TV receives Google certification, expected to launch soon",0
103,103,Realme X2 Pro Starts Receiving Android April 2020 Security Patch and Other Bug Fixes,0
104,104,Mysterious Realme smartphone with new design leaked,2
105,105,iPhone SE 2nd Gen has a lot of parts that can be swapped with the iPhone 8: iFixit teardown,2
106,106,Apple iPhone SE teardown video shows that a lot of its parts can be swapped with old iPhone 8 parts,4
107,107,2020 Flagship iPhone Models' Mass Production to Be Delayed by a Month: Report,2
108,108,Apple to delay mass production of 2020 flagship iPhones: Report,1
109,109,The Apple Watch 5th anniversary: what we got right and wrong in our review,2
110,110,"Five years later, the Apple Watch is an unyielding icon of design",3
111,111,Remember when Apple Watch was a luxury item? We look back at its 5-year evolution,3
112,112,"Former Apple designer reveals original sketches, other tidbits about genesis of Apple Watch",2
113,113,Call Of Duty: Mobile' Is Getting A Fan-Favourite Map Next Week,0
114,114,Dulquer Salmaan offers apology to Tamil people,1
115,115,Dulquer Salmaan apologises for insulting Tamil audience! - Malayalam News,1
116,116,"Many Tamil viewers misinterpret dog scene in 'Varane Avashyamund', Dulquer clarifies",2
117,117,Dulquer Salmaan Explains Prabhakaran Joke In Varane Avashyamund After Outrage,1
118,118,Rashami Desai grooves to Jacqueline Fernandez's Genda Phool and her moves will leave you amused; Take a look,1
119,119,"Rashami Desai Sets Temperature Soaring as She Grooves to Badshah's 'Genda Phool', Watch Video",2
120,120,#Exclusive: Arhaan Khan: My parents were against my relationship with Rashami Desai,0
121,121,Rashami Desai reminisces her journey from debut show Pari Hoon Main to Naagin 4 with a 'Then and Now' photo,1
122,122,"Kanika Kapoor currently at her Lucknow house, releases statement clarifying allegations - Republic World",3
123,123,"Day after no wrongdoing Instagram post, Kanika Kapoor asked to join police probe",1
124,124,"Uttar Pradesh police serves notice to Kanika Kapoor, asked to report on April 30",0
125,125,Kanika Kapoor says she didn’t quarantine herself after UK travel as ‘there was no such advisory’,1
126,126,When Ranbir Kapoor and 'Raees' actress Mahira Khan's 'smoking on the street of NYC' picture went viral on,1
127,127,"Sara Ali Khan, Alia Bhatt, Alaya F: Throwback to some of the best short dress styles",3
128,128,Arjun Kapoor on Actors Being Called Dumb: One Question to Alia on Koffee Destroyed Our Combined IQ,2
129,129,This unseen photo of Deepika Padukone and Ranbir Kapoor from 'Tamasha' poster shoot will drive away your,4
130,130,"Anil Kumble was best captain I played under, Rahul Dravid was technical master: RP Singh",1
131,131,"If you fumble the ball, people feel you can't replace MS Dhoni: KL Rahul",1
132,132,"His graph went up & mine went down, but friendship is intact: Former India pacer on MS Dhoni",1
133,133,"""Every Cricketer In The World Wants To Play Under MS Dhoni"", Says Mohit Sharma",4
134,134,Umar Akmal handed three-year ban for breach of anti-corruption code - Cricbuzz,1
135,135,Pakistan's Umar Akmal banned for three years: PCB,2
136,136,Pakistan’s Umar Akmal banned for three years: PCB,2
137,137,PCB Bans Umar Akmal For 3 Years For Failing To Report Spot-Fixing Approach,2
138,138,‘People told I would just play Ranji Trophy’: Jasprit Bumrah reveals how he ‘persisted with his act...,2
139,139,"Yuvraj takes a dig at youngsters, says they become something else on social media",4
140,140,Kohli or Tendulkar? Yuvraj or Dhoni? Yuvraj Singh corners Jasprit Bumrah with rapid-fire questions,0
141,141,"""Like Picking Between Mom-Dad"": Jasprit Bumrah's Cheeky Reply To Yuvraj Singh's Googly",0
142,142,"Wrote down Adidas on shoes during my first Nationals, they now print my name on them: Hima Das",4
143,143,"Once I scribbled Adidas on my shoes, they now make shoes with my name: Hima",2
144,144,"Hima Das Says She ""Ended Up Crying"" After Meeting Role Model Sachin Tendulkar",0
145,145,"Athletics | Once I scribbled Adidas on my spikes, now I wear custom-made shoes: Hima Das",2
146,146,"Crescent moon ""show"" this evening; nice start to week",0
147,147,LOOK UP! Venus shines brightest all week in the evening sky,3
148,148,Venus and crescent Moon close together and Earthshine,0
149,149,Starlink satellite sightings for Saturday,1
150,150,As Beautiful as The Moon? This is The First Time we Get to See The Lunar Surface in Such Detail,7
151,151,USGS releases first complete geologic map of the Moon,2
152,152,Incredible New Map of Moon Shows Its Every Nook and Cranny,1
153,153,Hubble's Collection of Anniversary Images,0
154,154,Hubble telescope celebrates 30 years with portrait of a firestorm in a neighbouring galaxy - Republic World,4
155,155,Hubble Space Telescope yields 1.4 mn observations in 3 decades,0
156,156,"Rising CO2 emissions could change the way human brains work, study says",2
157,157,"Covid-19: Pune company plans to ready 20-40m vaccine shots at Rs 1,000/dose by Sept-Oct",1
158,158,"Serum Institute to Start Making Oxford's Covid-19 Vaccine in 3 Weeks, Launch by Oct if Trials Succeed",1
159,159,"Coronavirus pandemic | Pune manufacturer plans to price COVID-19 vaccine at Rs 1,000 in India",4
160,160,Covid-19: Kolkata woman in Oxford University vaccine project team,2
161,161,Wuhan's L-strain may be behind Gujarat's high death rate: Experts,1
162,162,High fatality rate in Gujarat could be due to dominance of Wuhan’s L-type Covid-19 strain,2
163,163,Wuhans L-Type Coronavirus Could Be Behind High Mortality Rate In Gujarat: Experts,3
164,164,Wuhan's L-strand behind high mortality in Gujarat?,1
165,165,Fact Check: First volunteer of UK corona vaccine trial is alive and kicking,2
166,166,"Disabled Muslim man hounded for accidentally dropping currency, accused of spreading coronavirus",3
167,167,FACT CHECK: Did this female Indian doctor die because of coronavirus?,2
168,168,Ministry Of Personnel Refutes Rumours About Reducing Age Of Retirement,1
169,169,TISS Professors Falsely Targeted For 'Supporting Palghar Accused',0
170,170,Need to give importance to economy and also battle Covid-19: PM Modi to CMs,2
171,171,"Mint Covid Tracker: Despite slowing trajectory, India’s case count could reach 50,000 in eight days",2
172,172,‘Won’t lose a single rupee’: Govt clarifies after cancelling Chinese Covid-19 test kits,1
173,173,Will North Korea Get its 'First Female Dictator'? Twitter is Obsessing Over Kim Jong Un's Sister,1
174,174,"Coronavirus Pandemic LIVE Updates: 1,436 Cases, 60 Deaths Reported in Last 24 Hours, Says Govt",4
175,175,An Expert Explains: What is the future of migration from Kerala?,1
176,176,"6,184 or 22.17% COVID-19 patients have recovered: Health ministry",1
177,177,Anantnag braces for Covid-19 spurt as pregnant woman tests positive after death,2
178,178,Congress targets Centre over antibody test kits being purchased at higher prices,1
179,179,Over 80% wheat crop harvested: MHA,0
180,180,China’s Wuhan city discharges last COVID-19 patient from hospital,2
181,181,Australia rejects Chinese 'economic coercion' threat amid planned coronavirus probe,2
182,182,Saudi Arabia ends death penalty for minors and floggings,0
183,183,Coronavirus Outbreak LIVE Updates: Five more COVID-19 deaths take Pune's toll to 77; Modi likely to discuss graded lockdown exit with CMs,7
184,184,Coronavirus: What mutual fund investors should know amid rising credit risks,4
185,185,"Taking Stock: Cooling off after highs! Nifty holds 9,250 as RBI announces lifeline for MFs",2
186,186,Reliance begins using WhatsApp for grocery deliveries through JioMart,0
187,187,"IndusInd Bank reports Q4FY20 net profit at Rs 360.10, NII at Rs 3,231.2 crore",0
188,188,Unreleased Realme smartphone leaks in live images - GSMArena.com news,2
189,189,Apple to delay mass production of 2020 flagship iPhones: WSJ,1
190,190,The Apple Watch saved my life...,2
191,191,"Call Of Duty Mobile Update: New 'Rust' Map, 'Kill Confirmed' Mode & More",2
192,192,Dulquer Salmaan apologises for ‘Prabhakara’ joke in ‘Varane Avashyamund’,0
193,193,"After Hina Khan, Rashami Desai grooves to Jacqueline Fernandez’s Genda Phool, gets praise from Shefali...",0
194,194,Kanika Kapoor spends time with family in Lucknow after recovering from Covid-19. See pic,5
195,195,"Alia Bhatt Keeps in Touch with Her Friends Amid Lockdown, See Pic",2
196,196,‘If you fumble a ball...’: KL Rahul opens up about comparisons with MS Dhoni,1
197,197,Umar Akmal banned for 3 years from all forms by PCB Disciplinary Panel on corruption charges,2
198,198,Have seen many decent players who become something else on social media: Yuvraj Singh,7
199,199,"Lockdown has made me more dedicated and taught me that we can survive without eating outside, Hima Das te",4
200,200,Scientists Have Officially Declared This the Most Dangerous Place on Earth,2
201,201,Venus will shine at its brightest in the night sky this week,2
202,202,Scientists Develop First Comprehensive Map of the Moon's Surface,2
203,203,Hubble celebrates its 30th anniversary with a tapestry of blazing starbirth,0
204,204,How and when to eat cucumber to lose weight,0
205,205,Coronavirus: How India will play a major role in a Covid-19 vaccine,4
206,206,"Deadlier L Type Coronavirus Strain Could be Behind High Death Rate in Gujarat and Indore, Say Experts",2
207,207,These 5 morning habits may be causing you to gain weight,0
208,208,"Coronavirus pandemic | Lockdown will continue post-May 3 in COVID-19 hotspots, PM Modi tells chief ministers",4
209,209,Government mulls proposal to guarantee up to Rs 3 lakh crore bank loans to small businesses: Report,0
210,210,Covid-19 lockdown: India should open up now,3
211,211,"India Always Knew Spitting in Public is Wrong, Now is the Best Time to Ensure We Don't: PM Modi",8
212,212,"Coronavirus live updates: 28,380 total cases in India, 6,362 cured & death toll at 886, according to health ministry",3
213,213,"Coronavirus India News LIVE Updates: Total number of COVID-19 cases in India rise to 28,380, including 886 deaths",6
214,214,"1,975 new Covid-19 cases, 47 deaths in India in last 24 hours: 10 things to know",8
215,215,Highest single-day increase in Covid-19 cases,3
216,216,"Indian Council of Medical Research (ICMR): 'Don't use China kits, Return them back'",0
217,217,India Overpaid For Chinese COVID-19 Test Kits? What Court Case Reveals,1
218,218,Govt tells states to not use rapid kits for now,1
219,219,Delhi High Court caps imported antibody kit price at Rs. 400,0
220,220,Kim Jong Un ‘alive and well’: Seoul,0
221,221,Where is Kim Jong-un?,1
222,222,North Korea's Kim Jong Un 'alive and well': Seoul,0
223,223,Kim Jong-un successor: Will North Korea see a woman ruler? Here’s the top contender,3
224,224,Kolkata lockdown news: Today's updates from your city,3
225,225,"In times of job cuts, strategic groups are busy recruiting for 2021 Bengal election",1
226,226,"West Bengal CM Mamata Banerjee Says, She Is In Favour Of Extending Lockdown Till May 21",1
227,227,BJP Leaders Stage Sit-In Protests Against Bengal's COVID-19 Handling,1
228,228,Guard At Harsh Vardhan's Staff Office At AIIMS COVID-19 +ve: Report,1
229,229,"Our fight is against the disease, not the diseased': MoHFW urges public to not stigmatise COVID-19 patients",1
230,230,Covid-19 hotspot districts moving towards being non-hotspot districts: Health minister,2
231,231,"Trace, test, isolate, treat will remain our strategy: Union health min Harsh Vardhan",0
232,232,"Dead J&K Woman's Samples Return COVID-19 +ve, Probe Into Body Handling",2
233,233,"Pregnant Woman Dies in Anantnag Hospital, Inquiry Ordered",2
234,234,"Pregnant J&K Woman From COVID-19 Red Zone Dies In Hospital, Probe Ordered",3
235,235,"ICMR agreed to pay 2.5 times the price for rapid test kits, Delhi HC judgment shows",1
236,236,Coronavirus | Delhi HC asks to cap the price of COVID-19 test kits,3
237,237,Delhi HC puts Rs 400 cap on rapid testing kits from China,0
238,238,Delhi HC says Covid-19 testing kits should be sold at lowest cost possible,2
239,239,Covid-19 cases in Wuhan hospitals drop to zero for 1st time,4
240,240,First pandemic epicentre Wuhan discharges its last Covid patient from hospital,3
241,241,Did SARS-CoV-2 begin from a lab?,0
242,242,Does China have a case to answer on Covid-19?,1
243,243,China threatens to boycott Australian beef and wine; Here’s why,2
244,244,"In a testy post-Covid-19 world, Chinese sanctions of Australian goods may be closer than ever",4
245,245,"Australia, Backing Virus Probe, Slams China's ""Economic Coercion"" Threat",1
246,246,Australia rejects Chinese ‘economic coercion’ threat amid planned coronavirus probe,2
247,247,"Hajj Cancellation Won't be the First – Plague, War and Politics Disrupted Pilgrimages Long Before Coron...",1
248,248,Saudi Arabia Ends Death Penalty For Minors,0
249,249,Saudi Arabia partially lifts curfew except in Mecca,0
250,250,Saudi Arabia abolishes death sentence for minors,0
251,251,Prime Minister Modi feels 'very proud' when world leaders thank India for help in coronavrus crisis,2
252,252,"PM Narendra Modi to interact with CMs on April 26 to discuss way out of lockdown, COVID fight",4
253,253,"India coronavirus, COVID-19 live updates, April 26: 293 new coronavirus cases take Delhi`s total count to 2...",5
254,254,"India coronavirus, COVID-19 live updates, April 26: 293 new coronavirus cases take Delhi`s total count to 2...",5
255,255,"RBI announces ₹50,000 crore lifeline for mutual funds: 10 points",1
256,256,COVID 19 Crisis: Franklin Templeton Shut Down 6 Debts Mutual Fund Schemes Blaming Liquidity Crunch,2
257,257,Templeton Fund Freeze Leaves a Dangerous Hole,0
258,258,Here's why Franklin Templeton case should not be viewed as a credit crisis,1
259,259,Here Are Some Of The Buzzing Stocks For Today's Trade | Chartbusters,3
260,260,"Nifty, Sensex end higher as RBI eases MF liquidity concerns",0
261,261,"Closing Bell: Nifty ends just shy of 9,300, Sensex gains 415 pts; IndusInd Bank up 6% ahead of result",0
262,262,"Sensex ends over 400 points higher, Nifty below 9,300; private banks shine",0
263,263,How to place an order on JioMart using WhatsApp: A step-by-step guide,1
264,264,"After Facebook-Reliance deal, JioMart goes live on WhatsApp",1
265,265,JioMart goes live on WhatsApp in some areas in Mumbai,0
266,266,JioMart WhatsApp Order Booking Service Launched: How to Order,1
267,267,IndusInd Bank Q4: Profit falls 77% to Rs 302 cr QoQ as provisions spike 134%,0
268,268,"IndusInd Bank Q4 results: Profit falls 16% YoY to Rs 302 crore, misses estimates; provisions spike 56%",0
269,269,"IndusInd Banks Q4 profit slumps 77% QoQ to Rs 302 cr, provisions jump 2x",0
270,270,IndusInd Bank Q4 preview: Profit may fall sharply on muted operating performance,1
271,271,Realme X50m 5G with Snapdragon 765G chipset and two selfie cameras launched,0
272,272,"Realme TV receives Google certification, expected to launch soon",0
273,273,Realme X2 Pro Starts Receiving Android April 2020 Security Patch and Other Bug Fixes,0
274,274,Mysterious Realme smartphone with new design leaked,2
275,275,iPhone SE 2nd Gen has a lot of parts that can be swapped with the iPhone 8: iFixit teardown,2
276,276,Apple iPhone SE teardown video shows that a lot of its parts can be swapped with old iPhone 8 parts,4
277,277,2020 Flagship iPhone Models' Mass Production to Be Delayed by a Month: Report,2
278,278,Apple to delay mass production of 2020 flagship iPhones: Report,1
279,279,The Apple Watch 5th anniversary: what we got right and wrong in our review,2
280,280,"Five years later, the Apple Watch is an unyielding icon of design",3
281,281,Remember when Apple Watch was a luxury item? We look back at its 5-year evolution,3
282,282,"Former Apple designer reveals original sketches, other tidbits about genesis of Apple Watch",2
283,283,Call Of Duty: Mobile' Is Getting A Fan-Favourite Map Next Week,0
284,284,Dulquer Salmaan offers apology to Tamil people,1
285,285,Dulquer Salmaan apologises for insulting Tamil audience! - Malayalam News,1
286,286,"Many Tamil viewers misinterpret dog scene in 'Varane Avashyamund', Dulquer clarifies",2
287,287,Dulquer Salmaan Explains Prabhakaran Joke In Varane Avashyamund After Outrage,1
288,288,Rashami Desai grooves to Jacqueline Fernandez's Genda Phool and her moves will leave you amused; Take a look,1
289,289,"Rashami Desai Sets Temperature Soaring as She Grooves to Badshah's 'Genda Phool', Watch Video",2
290,290,#Exclusive: Arhaan Khan: My parents were against my relationship with Rashami Desai,0
291,291,Rashami Desai reminisces her journey from debut show Pari Hoon Main to Naagin 4 with a 'Then and Now' photo,1
292,292,"Kanika Kapoor currently at her Lucknow house, releases statement clarifying allegations - Republic World",3
293,293,"Day after no wrongdoing Instagram post, Kanika Kapoor asked to join police probe",1
294,294,"Uttar Pradesh police serves notice to Kanika Kapoor, asked to report on April 30",0
295,295,Kanika Kapoor says she didn’t quarantine herself after UK travel as ‘there was no such advisory’,1
296,296,When Ranbir Kapoor and 'Raees' actress Mahira Khan's 'smoking on the street of NYC' picture went viral on,1
297,297,"Sara Ali Khan, Alia Bhatt, Alaya F: Throwback to some of the best short dress styles",3
298,298,Arjun Kapoor on Actors Being Called Dumb: One Question to Alia on Koffee Destroyed Our Combined IQ,2
299,299,This unseen photo of Deepika Padukone and Ranbir Kapoor from 'Tamasha' poster shoot will drive away your,4
300,300,"Anil Kumble was best captain I played under, Rahul Dravid was technical master: RP Singh",1
301,301,"If you fumble the ball, people feel you can't replace MS Dhoni: KL Rahul",1
302,302,"His graph went up & mine went down, but friendship is intact: Former India pacer on MS Dhoni",1
303,303,"""Every Cricketer In The World Wants To Play Under MS Dhoni"", Says Mohit Sharma",4
304,304,Umar Akmal handed three-year ban for breach of anti-corruption code - Cricbuzz,1
305,305,Pakistan's Umar Akmal banned for three years: PCB,2
306,306,Pakistan’s Umar Akmal banned for three years: PCB,2
307,307,PCB Bans Umar Akmal For 3 Years For Failing To Report Spot-Fixing Approach,2
308,308,‘People told I would just play Ranji Trophy’: Jasprit Bumrah reveals how he ‘persisted with his act...,2
309,309,"Yuvraj takes a dig at youngsters, says they become something else on social media",4
310,310,Kohli or Tendulkar? Yuvraj or Dhoni? Yuvraj Singh corners Jasprit Bumrah with rapid-fire questions,0
311,311,"""Like Picking Between Mom-Dad"": Jasprit Bumrah's Cheeky Reply To Yuvraj Singh's Googly",0
312,312,"Wrote down Adidas on shoes during my first Nationals, they now print my name on them: Hima Das",4
313,313,"Once I scribbled Adidas on my shoes, they now make shoes with my name: Hima",2
314,314,"Hima Das Says She ""Ended Up Crying"" After Meeting Role Model Sachin Tendulkar",0
315,315,"Athletics | Once I scribbled Adidas on my spikes, now I wear custom-made shoes: Hima Das",2
316,316,"Crescent moon ""show"" this evening; nice start to week",0
317,317,LOOK UP! Venus shines brightest all week in the evening sky,3
318,318,Venus and crescent Moon close together and Earthshine,0
319,319,Starlink satellite sightings for Saturday,1
320,320,As Beautiful as The Moon? This is The First Time we Get to See The Lunar Surface in Such Detail,7
321,321,USGS releases first complete geologic map of the Moon,2
322,322,Incredible New Map of Moon Shows Its Every Nook and Cranny,1
323,323,Hubble's Collection of Anniversary Images,0
324,324,Hubble telescope celebrates 30 years with portrait of a firestorm in a neighbouring galaxy - Republic World,4
325,325,Hubble Space Telescope yields 1.4 mn observations in 3 decades,0
326,326,"Rising CO2 emissions could change the way human brains work, study says",2
327,327,"Covid-19: Pune company plans to ready 20-40m vaccine shots at Rs 1,000/dose by Sept-Oct",1
328,328,"Serum Institute to Start Making Oxford's Covid-19 Vaccine in 3 Weeks, Launch by Oct if Trials Succeed",1
329,329,"Coronavirus pandemic | Pune manufacturer plans to price COVID-19 vaccine at Rs 1,000 in India",4
330,330,Covid-19: Kolkata woman in Oxford University vaccine project team,2
331,331,Wuhan's L-strain may be behind Gujarat's high death rate: Experts,1
332,332,High fatality rate in Gujarat could be due to dominance of Wuhan’s L-type Covid-19 strain,2
333,333,Wuhans L-Type Coronavirus Could Be Behind High Mortality Rate In Gujarat: Experts,3
334,334,Wuhan's L-strand behind high mortality in Gujarat?,1
335,335,Fact Check: First volunteer of UK corona vaccine trial is alive and kicking,2
336,336,"Disabled Muslim man hounded for accidentally dropping currency, accused of spreading coronavirus",3
337,337,FACT CHECK: Did this female Indian doctor die because of coronavirus?,2
338,338,Ministry Of Personnel Refutes Rumours About Reducing Age Of Retirement,1
339,339,TISS Professors Falsely Targeted For 'Supporting Palghar Accused',0
340,340,Need to give importance to economy and also battle Covid-19: PM Modi to CMs,2
341,341,"Mint Covid Tracker: Despite slowing trajectory, India’s case count could reach 50,000 in eight days",2
342,342,‘Won’t lose a single rupee’: Govt clarifies after cancelling Chinese Covid-19 test kits,1
343,343,Will North Korea Get its 'First Female Dictator'? Twitter is Obsessing Over Kim Jong Un's Sister,1
344,344,"Coronavirus Pandemic LIVE Updates: 1,436 Cases, 60 Deaths Reported in Last 24 Hours, Says Govt",4
345,345,An Expert Explains: What is the future of migration from Kerala?,1
346,346,"6,184 or 22.17% COVID-19 patients have recovered: Health ministry",1
347,347,Anantnag braces for Covid-19 spurt as pregnant woman tests positive after death,2
348,348,Congress targets Centre over antibody test kits being purchased at higher prices,1
349,349,Over 80% wheat crop harvested: MHA,0
350,350,China’s Wuhan city discharges last COVID-19 patient from hospital,2
351,351,Australia rejects Chinese 'economic coercion' threat amid planned coronavirus probe,2
352,352,Saudi Arabia ends death penalty for minors and floggings,0
